"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"21","1999-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1975 - 1995, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1999], S. 353","Und","zu","Hause warteten eine junge Ehefrau und drei Kinder , an denen Herr Fokken sehr hing , seit fast vier Jahren auf den Familienvater ."
"22","1999-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1975 - 1995, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1999], S. 432","Pflichten , die sie , in der dünnen Luft abstrakten juristischen Denkens","zu","Hause , aus dem » geltenden Recht der DDR « und sogar aus dem Parteistatut der SED ableiteten ."
"23","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 84","Nun ist sie wieder","zu","Hause in Deutschland , und es regnet ."
"24","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 84","Dann hab ich Spanien ja","zu","Hause . «"
"25","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 157","Frauen , die sich das nicht trauen , bleiben besser","zu","Hause ."
"26","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 222","» Ja , wenn man seinen Mann schon mal","zu","Hause hat , am Nachmittag zum Kaffee , muß man ihn auch verwöhnen ."
"27","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 237","Zurück von ihrem Trip setzten sie ihre Erleuchtungen","zu","Hause in Fanta-Werbung um ."
"28","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 255","Denn viele waren eher im Ausland mit dem Bier in Berührung gekommen , als","zu","Hause ."
"29","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 289","Das war vielleicht ein Putz bei uns","zu","Hause ."
"30","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 324","Im Beruf und","zu","Hause . ..."
"31","1999-12-31","Gebrauchsliteratur","Hars, Wolfgang: Nichts ist unmöglich! Lexikon der Werbesprüche, München: Piper 2001 [1999], S. 407","Und setzte noch eins drauf mit dem Eingeständnis , daß ihm das Konkurrenzprodukt Maxwell","zu","Hause am besten munde ."
"32","1999-12-31","Gebrauchsliteratur","Kurz, Robert: Schwarzbuch Kapitalismus, Frankfurt a. M.: Eichborn 1999, S. 23","Die Produktion blieb zwar weitgehend traditionell und wurde","zu","Hause im Familienkreis verrichtet , aber nicht mehr auf eigene Rechnung , sondern für den Aufkäufer ."
"33","1999-12-31","Gebrauchsliteratur","Kurz, Robert: Schwarzbuch Kapitalismus, Frankfurt a. M.: Eichborn 1999, S. 351","Und wie die Männer an der Front , so durften auch die Frauen in den Kriegsfabriken »","zuhause","« ihre massendemokratische Initiation würdig begehen , wie es in den Erinnerungen eines Zeitzeugen festgehalten ist :"
"34","1999-12-31","Gebrauchsliteratur","Kurz, Robert: Schwarzbuch Kapitalismus, Frankfurt a. M.: Eichborn 1999, S. 362","Nicht besser stand es »","zuhause","« , wie aus zahllosen Dokumenten hervorgeht , so aus dem Brief einer Hamburgerin von 1917 :"
"35","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 13","» Hier bist du ab sofort","zu","Hause « , sagt Jörg Richter ."
"36","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 24","Leider bin ich aber nicht","zu","Hause ."
"37","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 59","Bislang habe ich noch nicht","zu","Hause angerufen ."
"38","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 59","Als ich noch","zu","Hause war , versuchte ich immer das Rosige zu sehen ."
"39","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 74","Ich sollte mal","zu","Hause anrufen ."
"40","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 92","Fast jedes Wochenende , wenn ich","zu","Hause war , hat meine Mutter geweint ."
"41","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 128","Sie will mich lieber","zu","Hause haben ."
